year,pop,country,other_energycompile_price,electricitycompile_price,electricitycompile_peakprice
2058,0.7105792544,MNE,0.10050398778634036,0.1319523560710985,0.5930560733228122
2059,0.7120364402,MNE,0.10191104361534913,0.13379968905609388,0.6013588583493316
2060,0.713493626,MNE,0.10333779822596402,0.1356728847028792,0.6097778823662222
2061,0.7146108526,MNE,0.10478452740112752,0.1375723050887195,0.6183147727193493
2062,0.7157280792,MNE,0.1062515107847433,0.13949831735996157,0.6269711795374202
2063,0.7168453057999999,MNE,0.10773903193572971,0.14145129380300103,0.6357487760509442
2064,0.7179625324,MNE,0.10924737838282993,0.14343161191624304,0.6446492589156574
2065,0.719079759,MNE,0.11077684168018954,0.14543965448307045,0.6536743485404766
2066,0.719931643,MNE,0.1123277174637122,0.14747580964583343,0.6628257894200432
2067,0.720783527,MNE,0.11390030550820417,0.14954047098087508,0.6721053504719239
2068,0.721635411,MNE,0.11549490978531902,0.15163403757460733,0.6815148253785308
2069,0.722487295,MNE,0.1171118385223135,0.15375691410065184,0.6910560329338302
2070,0.723339179,MNE,0.11875140426162588,0.15590951089806096,0.7007308173949038
2071,0.7241160358,MNE,0.12041392392128865,0.15809224405063382,0.7105410488384325
2072,0.7248928926,MNE,0.12209971885618669,0.1603055354673427,0.7204886235221706
2073,0.7256697494,MNE,0.1238091149201733,0.1625498129638855,0.730575464251481
2074,0.7264466062,MNE,0.12554244252905572,0.1648255103453799,0.7408035207510018
2075,0.727223463,MNE,0.1273000367244625,0.16713306749021523,0.7511747700415158
2076,0.7280878998,MNE,0.12908223723860499,0.16947293043507825,0.7616912168220971
2077,0.7289523366,MNE,0.13088938855994545,0.17184555146116934,0.7723548938576065
2078,0.7298167734,MNE,0.13272183999978468,0.17425138918162572,0.783167862371613
2079,0.7306812102,MNE,0.13457994575978166,0.17669090863016848,0.7941322124448156
2080,0.731545647,MNE,0.1364640650004186,0.17916458135099084,0.805250063419043
2081,0.7324961486,MNE,0.13837456191042447,0.1816728854899047,0.8165235643069096
2082,0.7334466502,MNE,0.14031180577717042,0.18421630588676338,0.8279548942072064
2083,0.7343971518,MNE,0.14227617105805082,0.18679533416917807,0.8395462627261072
2084,0.7353476534,MNE,0.14426803745286354,0.18941046884754656,0.8512999104042728
2085,0.736298155,MNE,0.14628778997720362,0.19206221541141222,0.8632181091499326
2086,0.7372312244,MNE,0.14833581903688448,0.19475108642717198,0.8753031626780317
2087,0.7381642938,MNE,0.15041252050340087,0.1974776016371524,0.8875574069555241
2088,0.7390973632,MNE,0.15251829579044848,0.20024228806007252,0.8999832106529014
2089,0.7400304326,MNE,0.15465355193151475,0.20304568009291354,0.912582975602042
2090,0.740963502,MNE,0.15681870165855596,0.20588831961421433,0.9253591372604707
2091,0.7417601246000001,MNE,0.15901416348177574,0.20877075608881335,0.9383141651821173
2092,0.7425567472000001,MNE,0.16124036177052062,0.21169354667405674,0.951450563494667
2093,0.7433533698,MNE,0.16349772683530792,0.21465725632749352,0.9647708713835923
2094,0.7441499924,MNE,0.16578669501100224,0.21766245791607844,0.9782776635829626
2095,0.744946615,MNE,0.16810770874115627,0.22070973232690355,0.9919735508731241
2096,0.7455524616,MNE,0.17046121666353245,0.2237996685794802,1.005861180585348
2097,0.7461583082000001,MNE,0.1728476736968219,0.22693286393959292,1.0199432371135428
2098,0.7467641548,MNE,0.17526754112857743,0.23010992403474723,1.0342224424331325
2099,0.7473700014000001,MNE,0.1777212867043775,0.2333314629712337,1.0487015566271964
